Project_Type,Project_Name,Brand,Qty,Real_Count,Order_List,Submit_List,Description,Year,Lead_Time,Parts_Arrival_Date,Installation_Complete_Date,Testing_Date,Cleaning,Delivery_Date,Remarks
Enclosure,TP172/24,GenDiesel,x1,1,,,"KTA50-G3 41386336 
S6L1M-H41
X25C131723",2025,30/3/2025,11/7/2025,16/7/2025,22/7/2025,YES,24/10/2025,
Open Set,TP25/131,MKG,x1,,,,"QST30-G4          (37294506/37294508)/

S6L1D-F41 (X25C131724/X25C131725)


NO PANEL; NO WIRING；No Radiator",2025,30/9/2025,29/8/2025,3/9/2025,4/9/2025,YES,3/11/2025,3/11 load
Marine,YS25/164 ,CHK,x2,2,,,CHK x2,2025,21/10/2025,27/9/2025,21/10/2025,6/11/2025,,12/11/2025,約期走機中
Enclosure,YS25/086 ,SF,x2,2,,,"QSB3.9-G2      x2/

Leroy Somer TALA42H+AREP.        X2",2025,29/9/2025,25/9/2025,13/10/2025,17/10/2025,YES,22/10/2025,Vendor delivery late
Enclosure,TP065/25,GenDiesel,x2,2,,,KTA50-G3                x2/S6L1D-H41   x2,2025,30/9/2025,8/9/2025,15/9/2025,4/11/2025,,,4/11 Test with Customer 
Enclosure,YS25/100,AEL,x1,1,,,"QSNT-G3
/HCI534C",2025,30/10/2025,2/9/2025,15/9/2025,2/10/2025,YES,22/10/2025,
Open Set,TP25/101,Energen,x3,3,,,"KTA50-G3               
(41386331/41386334/41386335)/Evotect TCU428E",2025,31/10/2025,2/10/2025,10/10/2025,15/10/2025,YES,21/10/2025,
Open Set,TP25/114,MGK,x1,,,,NTA855-G2 /S4l1s-d41,2025,30/10/2025,17/9/2025,19/10/2025,22/10/2025,YES,11/11/2025,11/11 load
Open Set,TP25/126,Energen,x1,1,,,"KTA38G4
(41392313)/EVOTECT",2025,30/10/2025,30/9/2025,10/10/2025,15/10/2025,YES,21/10/2025,
Open Set,TP25/139B,Zenith,x3,3,,,"
KTA50-G3
(41386627/41386629/41386626)/Wuxi S9M1D-A4 ",2025,30/10/2025,2/10/2025,9/10/2025,3/10/2025,YES,23/10/2025,
Open Set,TP25/169,MGK,x1,,,,"KTA50-G3  (41386630)
/TCU428E NO PMG (FR5109)
/40度水箱
/NO control panel. No wiring",2025,15/10/2025,23/10/2025,30/10/2025,,,,等LC後再試機
Open Set,TP25/173,ALM,x1,1,,,"KTA38-G5 x2
(41394099/41394100)/
要拉線 參考TP003/25
",2025,6/10/2025,24/9/2025,29/9/2025,29/9/2025,YES,,Customer request amend
,,,,,,,,,,,,,,,
Open Set,TP25/187,MGK,x1,,,,"KTA50-G3 x1 (41395422)
/TCU428E. NO PMG
/No Control Panel. No Wiring",2025,30/11/2025,19/11/2025,21/11/2025,,,,
